dt_id,mo_beg_dt,full_dt,workdays_in_mo,workday_of_mo,pct_workday_complete,qtr_beg_dt,workday_of_qtr,workdays_in_qtr,pct_qtr_workday_complete,semi_beg_dt,workday_of_semi,workdays_in_semi,pct_semi_workday_complete,yr_beg_dt,workday_of_yr,workdays_in_yr,pct_yr_workday_complete
20180101,1/1/2018,1/1/2018,22,0,0,1/1/2018,0,64,0,1/1/2018,0,128,0,1/1/2018,0,253,0
20180102,1/1/2018,1/2/2018,22,1,0.046,1/1/2018,1,64,0.016,1/1/2018,1,128,0.008,1/1/2018,1,253,0.004
20180103,1/1/2018,1/3/2018,22,2,0.091,1/1/2018,2,64,0.031,1/1/2018,2,128,0.016,1/1/2018,2,253,0.008
20180104,1/1/2018,1/4/2018,22,3,0.136,1/1/2018,3,64,0.047,1/1/2018,3,128,0.023,1/1/2018,3,253,0.012
20180105,1/1/2018,1/5/2018,22,4,0.182,1/1/2018,4,64,0.062,1/1/2018,4,128,0.031,1/1/2018,4,253,0.016
20180106,1/1/2018,1/6/2018,22,4,0.182,1/1/2018,4,64,0.062,1/1/2018,4,128,0.031,1/1/2018,4,253,0.016
20180107,1/1/2018,1/7/2018,22,4,0.182,1/1/2018,4,64,0.062,1/1/2018,4,128,0.031,1/1/2018,4,253,0.016
20180108,1/1/2018,1/8/2018,22,5,0.227,1/1/2018,5,64,0.078,1/1/2018,5,128,0.039,1/1/2018,5,253,0.02
20180109,1/1/2018,1/9/2018,22,6,0.273,1/1/2018,6,64,0.094,1/1/2018,6,128,0.047,1/1/2018,6,253,0.024
20180110,1/1/2018,1/10/2018,22,7,0.318,1/1/2018,7,64,0.109,1/1/2018,7,128,0.055,1/1/2018,7,253,0.028
20180111,1/1/2018,1/11/2018,22,8,0.364,1/1/2018,8,64,0.125,1/1/2018,8,128,0.062,1/1/2018,8,253,0.032
20180112,1/1/2018,1/12/2018,22,9,0.409,1/1/2018,9,64,0.141,1/1/2018,9,128,0.07,1/1/2018,9,253,0.036
20180113,1/1/2018,1/13/2018,22,9,0.409,1/1/2018,9,64,0.141,1/1/2018,9,128,0.07,1/1/2018,9,253,0.036
20180114,1/1/2018,1/14/2018,22,9,0.409,1/1/2018,9,64,0.141,1/1/2018,9,128,0.07,1/1/2018,9,253,0.036
